Name,Count
Daigan,1
Daisem,1
Dakotablu,1
Daksh,1
Dale,3
Dale-Junior,1
Daley,1
Dalington,1
Dalton,2
Daly,1
Damian,10
Damians,1
Damien,6
Damola,1
Damon,3
Dan,1
Danaidh,1
Dani-Ray,1
Daniel,201
Danielius,2
Daniels,2
Daniil,1
Danil,1
Daniyaal,1
Danny,19
Dano,1
Dante,3
Danvin,1
Danvith,1
Danyal,1
Dara,6
Darach,3
Daragh,1
Darah,1
Darby,1
Darcy,1
Darian,2
Dario,2
Darius,3
Dariusz,1
Darragh,13
Darren,10
Darren-Kevin,1
Darro-John,1
Darrow,2
Darryl,3
Darryn,1
Darshan,1
Darwin,1
Daryl,3
Dastan,1
Dava,1
Davi,1
David,102
David-Charles,1
David-Ethan,1
David-Nikolas,1
Davie,2
Davis,3
Davy,1
Dawar,1
Dawda,1
Dawid,8
Dawood,2
Dawson,7
Dawson-Alexander,1
Dawson-Darroch,1
Dawud,1
Dax,4
Daxxon,1
Dayyaan,1
Deacon,5
Deakin,1
Dean,19
Declan,22
Declan-John,1
Declyn,1
Deeko,1
Deen,2
Deeshan,1
Deimantas,1
Deivid,1
Deividas,1
Deker,1
Del,1
Delan,1
Demetrio,1
Demian,1
Demilade,1
Demiray,1
Denholm,1
Deniam,1
Denim,1
Denis,5
Denith,1
Deniz,1
Dennis,3
Dennon,1
Denny,1
Denver,1
Deon,1
Derek,4
Derek-Anthony,1
Deri,1
Derren,1
Derri,1
Derry,1
Derryn,1
Derwyn,1
Desmond,3
Dev,1
Devan,2
Devhardhan,1
Devin,5
Devlen,2
Devlin,4
Devlin-James,1
Devon,4
Devran,1
Devyn,3
Dex,1
Dexter,13
Dhahawi,1
Dhananjay,1
Dhaneesh,1
Dhruv,1
Diako,1
Diarmuid,1
Dickson,1
Didier,1
Diego,3
Dilan,2
Dilans,1
Dildeep,1
Dilkirat,1
Dillon,6
Dimitri,1
Dimitrie,1
Dimitrios,1
Dino,1
Dipin,1
Divine,1
Divit,1
Divyansh,1
Diyaan,1
Domas,2
Dome,1
Domingo,1
Dominic,35
Dominic-Ares,1
Dominik,13
Dominiks,1
Dominykas,2
Don,1
Donal,1
Donald,6
Donnacha,1
Donncha,2
Donnie,3
Donovan,3
Dorian,1
Dorran,1
Dougie,1
Douglas,12
Draeden,1
Drake,4
