Name,Count
Caoileann,1
Caoimhe,20
Caoimhe-Louisa,1
Cara,69
Caragh,2
Carah-Lee,1
Cardi,1
Carina,4
Caris,5
Carla,7
Carley,1
Carli,1
Carlie,2
Carly,21
Carly-Rae,1
Carmel,1
Carmela,2
Carmen,14
Carmena,1
Carolina,1
Caroline,1
Carrie,4
Carson,1
Carter,1
Carys,8
Casey,15
Casey-Leigh,1
Casia,1
Casie-Leigh,1
Cassandra,4
Cassi,1
Cassia,3
Cassidy,7
Cassie,12
Catalina,3
Catherine,23
Catrin,1
Catriona,8
Caycie,1
Cayetana,1
Cayla,5
Cece,3
Cecile,1
Cecilia,5
Cecily,2
Cecylia,1
Ceilidh,1
Ceit,2
Ceitidh,4
Ceitlin,1
Celena,1
Celeste,2
Celia,5
Celine,3
Ceris,1
Cerise,1
Cerys,9
Cerys-Rose,1
Chaarvi,1
Chakavak,1
Chandanaa,1
Chanel,2
Chanel-Levi,1
Chanreet,1
Chantelle,2
Charanjot,1
Chardonnay-Zoe,1
Charis,1
Charlee,1
Charlee-Rose,1
Charleigh,2
Charlene,1
Charley,24
Charley-Quinn,1
Charli,8
Charlie,18
Charlie-Rose,2
Charlize,1
Charlotte,246
Charlotte-Elizabeth,2
Charly,2
Charlye,1
Che,1
Chelsea,9
Chelsea-Jo,1
Chelsey,1
Chenaaya,1
Cher,1
Cherlilah,1
Chi,1
Chiara,6
Chiazam,1
Chibogu,1
Chikaima,2
Chikamdabere,1
Chikamso,2
Chilel,1
Chimamanda,2
Chinenye,1
Chiyoko,1
Chizara,1
Chloe,143
Chloe-Elizabeth,1
Chrisbeil,1
Chrislin,1
Chrissie,2
Chrissy,1
Chrissy-Leigh,1
Christabel,2
Christell,1
Christie,1
Christina,11
Christina-Ann,1
Christine,1
Christy,1
Ciana,2
Ciara,17
Ciarra,1
Cierrah,1
Ciorstaidh,1
Claire,7
Clairisa,1
Clara,48
Clarissa,2
Clarke,4
Claudia,9
Claudine,1
Clemency,1
Clementine,1
Cleo,12
Cleo-Mae,1
Cleodie,1
Clio,3
Clodagh,3
Cloe,1
Clover,1
Coco,1
Coco-Blossom,1
Codi,1
Cody,1
Colbie,1
Cole,1
Coley-Rose,1
Conie,1
Connie,20
Constance,9
Contessa,1
Cora,67
Cora-Mae,1
Corah,2
Coral,3
Corin,1
Corinna,1
Corinne,1
Corra,1
Corrie,1
Corrina,1
Corynn,1
Cosima,1
Courtney,5
Courtney-Rae,1
Crissie,1
Cristina,1
Crystal,2
Csenge,1
Cyan,1
Cydele,1
Cyra,2
D'arcy,3
Daad,1
Daanya,1
Daberechi,1
Dagmar,1
Dahlia,4
Daisey,4
Daisie,2
Daisie-Mae,1
Daisy,101
Daisy-Leigh,1
Daisy-Mae,2
Daisy-Mai,1
Daizy,1
Dajana,1
Dakota,17
Dakota-Jacqueline,1
Dakota-Rose,1
Dalal,1
Dalia,2
Dallas,2
Dana,2
Danaya,2
Dani,10
Dania,2
Danica,1
Daniela,4
Daniella,1
Danielle,6
Danielle-Jade,1
Danika,1
Daniyah,1
Danni,3
Danni-Jo,1
Dannika,1
Dantoni,1
Danya,1
Daphne,4
Dara,3
Darah,1
Darby,1
Darcey,28
Darci,17
Darci-Leigh,1
Darci-May,1
Darcie,42
Darcie-Anne,1
Darcie-Drew,1
Darcie-Lee,1
Darcie-Leigh,1
Darcie-Rae,1
Darcie-Rose,1
Darcii,1
Darcy,55
Darcy-Grace,1
Dareen,1
Daria,5
Darian,1
Darla,5
Darlie,1
Darlyse,1
Darrah,1
Darrah-Grace,1
Dava,1
Daveigh,1
Davi,1
Davina,2
Dawn,2
Daya,4
Dayana,1
Daysie,1
Daytona,2
Deanna,2
Dearbhla,1
Debbie,1
Deborah,3
Dee,2
Deeba,1
Deem,1
Deena,1
Deina,1
Delaney,1
Delarosa,1
Delilah,10
Delilah-Jo,1
Delylah,1
Demi,8
Demi-Leigh,4
Demi-Louise,1
Demi-Rose,1
Demileigh,1
Demily,1
Denise,1
Denni,1
Denver,2
Denver-Marie,1
Deona,1
Derri,1
Derry,1
Derya,1
Dessy-Ray,1
Destin,1
Destiny,4
Destiny-Dior,1
Devahn,1
Devon,7
Devyn,2
Devynn,1
Dhailey,1
Dhani,1
Dhanvika,1
Dhanya,1
Dhanyasri,1
Dhara,1
Dheri,1
Dia,1
Diamond,1
Diana,9
Diane,1
Dilan,1
Dillon,1
Dina,3
Dionne,2
Dior,1
Diva,1
Divija,1
Divine,2
Dixie,1
Diya,2
Dobrawa,2
Doilidh,1
Dolcey,1
Dollie,1
Domineka,1
Dominika,2
Donna,1
Dora,1
Doroteja,1
Dorothy,4
Drew,1
Dua,2
Duaa,2
Dulcie,1
Duya,1
Dyana,1
Eabha,2
Eadie,2
Eadith,1
Eala,1
Ebba,1
Eboni,2
Ebonie,1
Ebony,10
Ebony-Rose,3
Eden,47
Eden-Lily,1
Eder,1
Edie,13
Edith,23
Edyn,1
Eevee,2
Eevie,3
Efe,1
Effie,11
Effie-Alice,1
Effy,3
Egle,1
Eilah,1
Eile,1
Eiliah,1
Eilidh,179
Eilidh-Rose,1
Eilish,1
Eiliyah,2
Eimaan,1
Eiman,1
Eimear,2
Eira,7
Eireann,2
Eirinn,1
Eiryn,1
